chromosome	start	end	gene	log2	depth	spread
chr10	27060282	27060390	ANKRD26	0.392433	7498.79	0.0614682
chr10	27060390	27060498	ANKRD26	0.322699	7184.18	0.0717211
chr10	27060498	27060606	ANKRD26	0.108738	6177.7	0.0588439
chr10	27060979	27061084	ANKRD26	-2.3855	1088.92	0.132947
chr10	27061084	27061189	ANKRD26	0.146613	6291.98	0.0553614
chr10	27061189	27061294	ANKRD26	0.285792	6950.43	0.05733
chr10	27061294	27061400	ANKRD26	-1.97451	1461.64	0.101363
chr10	27063836	27063934	ANKRD26	-2.32819	1134.75	0.110655
chr10	27063934	27064032	ANKRD26	0.223262	6613.03	0.0712576
chr10	27064032	27064130	ANKRD26	0.165206	6314.64	0.0692
chr10	27064130	27064228	ANKRD26	-2.5805	945.136	0.153757
chr10	27066318	27066422	ANKRD26	-2.10961	1317.51	0.136015
chr10	27066422	27066526	ANKRD26	0.325319	7127.66	0.0947614
chr10	27066526	27066630	ANKRD26	0.267959	6850.99	0.082554
chr10	27066630	27066735	ANKRD26	-2.08926	1332.64	0.130838
chr10	27066946	27067045	ANKRD26	-2.33087	1117.52	0.160673
chr10	27067045	27067144	ANKRD26	-0.490263	4057.01	0.066419
chr10	27067144	27067243	ANKRD26	0.415369	7606.92	0.0684684
chr10	27067243	27067342	ANKRD26	0.564919	8447.51	0.0258567
chr10	27077219	27077326	ANKRD26	-2.13785	1302.68	0.096368
chr10	27077326	27077433	ANKRD26	0.339663	7211.25	0.0389933
chr10	27077433	27077540	ANKRD26	0.680197	9133.89	0.0523764
chr10	27077540	27077647	ANKRD26	0.302994	7065.51	0.0685242
chr10	27077647	27077754	ANKRD26	0.132378	6218.39	0.0684105
chr10	27077754	27077862	ANKRD26	-2.41247	1062.66	0.115146
chr10	27078910	27079012	ANKRD26	-2.252	1191.26	0.117549
chr10	27079012	27079114	ANKRD26	-0.324033	4580.02	0.0596665
chr10	27079114	27079216	ANKRD26	0.229598	6699.63	0.0347955
chr10	27080011	27080134	ANKRD26	-2.7944	819.311	0.111611
chr10	27080134	27080258	ANKRD26	-0.386837	4354.28	0.0600193
chr10	27082684	27082790	ANKRD26	-2.43585	1038.73	0.115778
chr10	27082790	27082896	ANKRD26	-0.493839	4000.03	0.0738182
chr10	27086464	27086579	ANKRD26	0.0885485	6048.58	0.0828239
chr10	27086579	27086695	ANKRD26	0.0548013	5883.96	0.0705052
chr10	27092263	27092355	ANKRD26	-2.23495	1219.3	0.112735
chr10	27092355	27092447	ANKRD26	0.613628	8727.03	0.0514161
chr10	27092447	27092539	ANKRD26	0.555711	8379.93	0.0549853
chr10	27092539	27092631	ANKRD26	-2.32404	1138.6	0.11579
chr10	27093240	27093340	ANKRD26	-0.185001	4983.16	0.0724645
chr10	27093340	27093441	ANKRD26	0.810508	10004	0.0393862
chr10	27093441	27093542	ANKRD26	0.576578	8498.9	0.0476812
chr10	27093542	27093642	ANKRD26	-0.716465	3461.28	0.0940089
chr10	27093642	27093743	ANKRD26	0.491748	8026.83	0.040978
chr10	27093743	27093844	ANKRD26	0.831615	10149.6	0.0324889
chr10	27093844	27093945	ANKRD26	-2.26086	1196.71	0.0814626
chr10	27099961	27100056	ANKRD26	-2.49403	1024.98	0.0884773
chr10	27100056	27100151	ANKRD26	-0.276217	4736.53	0.0681014
chr10	27100151	27100247	ANKRD26	0.574565	8524.73	0.0397462
chr10	27100247	27100342	ANKRD26	0.433751	7739.62	0.0373981
chr10	27100342	27100438	ANKRD26	0.131229	6270.91	0.0604172
chr10	27100438	27100533	ANKRD26	-0.871306	3105.42	0.0883977
chr10	27100533	27100629	ANKRD26	-2.7028	871.248	0.133442
chr11	532482	532580	HRAS	-2.72458	861.24	0.0994703
chr11	532580	532679	HRAS	-0.718763	3484.09	0.0591079
chr11	532679	532777	HRAS	0.353482	7290.18	0.0510775
chr11	532777	532876	HRAS	-0.181531	5057.6	0.0640737
chr11	532876	532975	HRAS	-2.4468	1059.95	0.0930405
chr11	533261	533363	HRAS	-3.16695	634.017	0.118927
chr11	533363	533465	HRAS	-1.46459	2048.27	0.121605
chr11	533465	533567	HRAS	0.319682	7142.69	0.0555534
chr11	533567	533669	HRAS	0.117271	6246.84	0.0468878
chr11	533669	533771	HRAS	-0.530689	3954.01	0.0525246
chr11	533771	533873	HRAS	0.463055	7828.47	0.0609321
chr11	533873	533975	HRAS	-0.387096	4345.83	0.0729935
chr11	533975	534077	HRAS	-2.45598	1037.84	0.106106
chr11	534084	534175	HRAS	-2.40794	1084.71	0.0980951
chr11	534175	534266	HRAS	-0.245377	4797.94	0.0690182
chr11	534266	534357	HRAS	0.570131	8516.8	0.0624462
chr11	534357	534448	HRAS	-0.708783	3510.42	0.0870937
chr11	534448	534540	HRAS	-2.47007	1025.43	0.121058
chr11	32391839	32391954	WT1	-1.68197	1774.38	0.0925944
chr11	32391954	32392070	WT1	0.492794	8020.78	0.062411
chr11	32392070	32392186	WT1	-1.55395	1941.46	0.0900505
chr11	32396229	32396327	WT1	0.0262331	5805.45	0.046851
chr11	32396327	32396426	WT1	-0.700841	3521.39	0.0493342
chr11	32396426	32396525	WT1	-2.52121	987.748	0.114818
chr11	118436267	118436360	KMT2A	-3.01612	703.652	0.164992
chr11	118436360	118436454	KMT2A	-1.52104	1978.98	0.158462
chr11	118436454	118436548	KMT2A	-1.20947	2435.47	0.136187
chr11	118436548	118436642	KMT2A	-1.70904	1716.68	0.201382
chr11	118436642	118436736	KMT2A	-1.82563	1593.15	0.203323
chr11	118436736	118436830	KMT2A	-0.195629	4967.9	0.11505
chr11	118436830	118436924	KMT2A	0.349603	7263.44	0.0938934
chr11	118436924	118437018	KMT2A	-0.727081	3463.87	0.0561953
chr11	118468647	118468738	KMT2A	-2.27139	1188.03	0.122064
chr11	118468738	118468829	KMT2A	0.441379	7757.71	0.0549891
chr11	118468829	118468920	KMT2A	0.448734	7800.22	0.0526654
chr11	118468920	118469012	KMT2A	-2.4381	1054.4	0.107476
chr11	118471555	118471656	KMT2A	-0.0683035	5437.42	0.0394546
chr11	118471656	118471757	KMT2A	0.790242	9933.78	0.035255
chr11	118471757	118471859	KMT2A	0.370677	7404.84	0.0325844
chr11	118471859	118471960	KMT2A	-0.0310852	5619.47	0.0630308
chr11	118471960	118472062	KMT2A	-0.0670154	5462.27	0.0783019
chr11	118472062	118472163	KMT2A	0.0321302	5858.91	0.0687972
chr11	118472163	118472265	KMT2A	0.381484	7506.64	0.0601224
chr11	118472265	118472366	KMT2A	0.0251688	5833.52	0.0538839
chr11	118472366	118472468	KMT2A	0.406052	7601.1	0.0307442
chr11	118472468	118472569	KMT2A	0.264275	6859.59	0.0331642
chr11	118472569	118472671	KMT2A	-0.392843	4336.68	0.0567405
chr11	118472671	118472772	KMT2A	-0.211059	4913.3	0.07743
chr11	118472772	118472874	KMT2A	-0.443651	4154.26	0.0936857
chr11	118472874	118472975	KMT2A	-0.124434	5195.24	0.0728482
chr11	118472975	118473077	KMT2A	0.3538	7313.13	0.0352246
chr11	118473077	118473178	KMT2A	-0.0633976	5481.02	0.0540823
chr11	118473178	118473280	KMT2A	0.452819	7831.98	0.0483823
chr11	118473280	118473381	KMT2A	-0.0241377	5630.09	0.0520339
chr11	118473381	118473483	KMT2A	0.39882	7529.72	0.0552071
chr11	118473483	118473584	KMT2A	-0.822261	3238.87	0.077915
chr11	118473584	118473686	KMT2A	0.404026	7576.66	0.0564301
chr11	118473686	118473787	KMT2A	0.442358	7738.39	0.0588562
chr11	118473787	118473889	KMT2A	0.340054	7215.74	0.0672713
chr11	118473889	118473990	KMT2A	-0.138955	5156.46	0.0764195
chr11	118473990	118474092	KMT2A	0.432184	7720.82	0.051107
chr11	118474092	118474193	KMT2A	0.0188276	5808.02	0.0621316
chr11	118474193	118474295	KMT2A	0.542919	8323.21	0.0430089
chr11	118474295	118474396	KMT2A	0.432952	7690.34	0.0451603
chr11	118474396	118474498	KMT2A	-2.68188	897.724	0.0892786
chr11	118476669	118476771	KMT2A	-1.98029	1451.53	0.0781695
chr11	118476771	118476873	KMT2A	0.715248	9387.62	0.0302252
chr11	118476873	118476975	KMT2A	1.06444	11965	0.0667711
chr11	118476975	118477077	KMT2A	1.0064	11480.9	0.0484283
chr11	118477077	118477179	KMT2A	-0.29169	4657.6	0.0441551
chr11	118477940	118478047	KMT2A	0.438923	7757.2	0.029144
chr11	118478047	118478155	KMT2A	0.828708	10196.9	0.0321416
chr11	118478155	118478263	KMT2A	0.0838322	6068.49	0.0461788
chr11	118478263	118478371	KMT2A	-2.17129	1281.22	0.0868639
chr11	118480008	118480097	KMT2A	-1.86558	1571.46	0.106369
chr11	118480097	118480187	KMT2A	0.82907	10146.6	0.0467347
chr11	118480187	118480277	KMT2A	0.912302	10786	0.0508411
chr11	118480277	118480367	KMT2A	-0.0172961	5595.37	0.0779113
chr11	118481564	118481665	KMT2A	-2.27355	1197.77	0.083564
chr11	118481665	118481766	KMT2A	0.226422	6731.32	0.0375982
chr11	118481766	118481867	KMT2A	0.264708	6883.92	0.038483
chr11	118481867	118481968	KMT2A	0.184441	6502.51	0.0668072
chr11	118481968	118482069	KMT2A	0.289847	6996.27	0.060139
chr11	118482069	118482170	KMT2A	0.307159	7088.76	0.0565307
chr11	118482170	118482272	KMT2A	-1.99357	1437.43	0.124922
chr11	118482307	118482414	KMT2A	0.287636	7058.88	0.0575478
chr11	118482414	118482522	KMT2A	0.48622	8013.46	0.0549092
chr11	118482522	118482630	KMT2A	-1.12796	2603.52	0.0816558
chr11	118484111	118484205	KMT2A	0.138073	6265.28	0.0566837
chr11	118484205	118484299	KMT2A	0.930127	10905.1	0.0464379
chr11	118484299	118484393	KMT2A	0.223757	6682.19	0.0523057
chr11	118484393	118484487	KMT2A	-2.22352	1213.57	0.148226
chr11	118484645	118484755	KMT2A	-1.85423	1556.62	0.155208
chr11	118484755	118484865	KMT2A	0.500353	8047.94	0.0640534
chr11	118484865	118484975	KMT2A	1.00747	11480.1	0.0479986
chr11	118484975	118485086	KMT2A	-0.307381	4592.2	0.0742202
chr11	118488502	118488597	KMT2A	-0.0772291	5393.13	0.0542657
chr11	118488597	118488692	KMT2A	0.63507	8767.66	0.120771
chr11	118488692	118488787	KMT2A	0.701672	9220.71	0.0768322
chr11	118488787	118488882	KMT2A	-2.37612	1081.01	0.224569
chr11	118489582	118489676	KMT2A	-2.64476	909.624	0.129749
chr11	118489676	118489771	KMT2A	-0.263679	4754.68	0.0579832
chr11	118489771	118489866	KMT2A	0.678603	9181.95	0.0391942
chr11	118489866	118489961	KMT2A	0.349389	7310.71	0.0289223
chr11	118489961	118490056	KMT2A	-0.360892	4459.88	0.0371624
chr11	118490056	118490151	KMT2A	0.0415134	5898.49	0.0407945
chr11	118490151	118490246	KMT2A	0.818641	10110	0.0284302
chr11	118490246	118490341	KMT2A	-0.589107	3822.55	0.0629155
chr11	118490341	118490436	KMT2A	-2.4035	1071.2	0.131097
chr11	118491072	118491165	KMT2A	0.0602281	5990.66	0.0402341
chr11	118491165	118491258	KMT2A	0.606055	8767.97	0.037027
chr11	118491258	118491351	KMT2A	0.653759	9022.89	0.0318399
chr11	118491351	118491444	KMT2A	-2.06064	1369.33	0.126516
chr11	118491535	118491632	KMT2A	-2.17256	1262.05	0.137264
chr11	118491632	118491729	KMT2A	-0.064248	5463.14	0.0466242
chr11	118491729	118491827	KMT2A	0.456936	7840	0.0408673
chr11	118491827	118491924	KMT2A	0.487258	8044.26	0.0431123
chr11	118491924	118492021	KMT2A	0.282218	6984.72	0.0395749
chr11	118492021	118492119	KMT2A	-2.36312	1126.2	0.11745
chr11	118492856	118492948	KMT2A	-2.41951	1064.13	0.121
chr11	118492948	118493041	KMT2A	-0.161562	5105.41	0.0577438
chr11	118493041	118493134	KMT2A	0.503719	8085.56	0.0425005
chr11	118493134	118493226	KMT2A	0.952008	11052.5	0.0304604
chr11	118493226	118493319	KMT2A	0.481473	7967.87	0.030859
chr11	118493319	118493412	KMT2A	-2.26354	1191.6	0.105082
chr11	118494063	118494154	KMT2A	-0.11806	5260.39	0.0371884
chr11	118494154	118494245	KMT2A	0.40375	7519.71	0.0594166
chr11	118494245	118494336	KMT2A	0.254293	6813.03	0.0763793
chr11	118494336	118494427	KMT2A	-0.585606	3792.74	0.105096
chr11	118494427	118494519	KMT2A	-2.24425	1190.3	0.17455
chr11	118494665	118494759	KMT2A	-0.200301	4948.05	0.0783652
chr11	118494759	118494853	KMT2A	-0.279244	4761.29	0.051108
chr11	118494853	118494948	KMT2A	-2.11618	1332.12	0.105278
chr11	118495587	118495700	KMT2A	0.0636942	6003.71	0.0542776
chr11	118495700	118495814	KMT2A	0.207134	6593.11	0.0586973
chr11	118495814	118495928	KMT2A	0.448966	7770.59	0.051905
chr11	118496042	118496135	KMT2A	-2.31912	1131.57	0.146847
chr11	118496135	118496228	KMT2A	-0.121345	5260.85	0.0658153
chr11	118496228	118496321	KMT2A	1.43071	15382.5	0.0515182
chr11	118496321	118496414	KMT2A	1.23731	13441.1	0.0464094
chr11	118496414	118496507	KMT2A	-0.165948	5087.56	0.0668712
chr11	118496507	118496600	KMT2A	-2.33262	1129.05	0.158639
chr11	118497812	118497907	KMT2A	-2.42692	1068.06	0.0802205
chr11	118497907	118498003	KMT2A	0.573421	8483.12	0.0482222
chr11	118498003	118498099	KMT2A	0.738199	9540.84	0.0317924
chr11	118498099	118498195	KMT2A	-0.572361	3858.59	0.0663878
chr11	118498195	118498290	KMT2A	0.400325	7525.97	0.0442663
chr11	118498290	118498386	KMT2A	0.95101	11006.5	0.0386149
chr11	118498386	118498482	KMT2A	-0.121986	5222.26	0.0679502
chr11	118498482	118498578	KMT2A	-0.589703	3790.29	0.0735849
chr11	118498578	118498674	KMT2A	-2.45342	1049.73	0.117838
chr11	118499196	118499284	KMT2A	0.129994	6255.42	0.0406151
chr11	118499284	118499373	KMT2A	0.895908	10665.3	0.0378891
chr11	118499373	118499461	KMT2A	0.915099	10771.8	0.0335887
chr11	118499461	118499550	KMT2A	-1.35441	2239.41	0.079551
chr11	118499628	118499727	KMT2A	-2.09812	1341.5	0.103512
chr11	118499727	118499827	KMT2A	0.393389	7516.55	0.0394119
chr11	118499827	118499927	KMT2A	0.537285	8284.69	0.0279403
chr11	118499927	118500027	KMT2A	-0.789615	3286.93	0.0561695
chr11	118500027	118500127	KMT2A	-2.55018	968.033	0.150229
chr11	118500772	118500871	KMT2A	-2.32407	1142.63	0.109501
chr11	118500871	118500971	KMT2A	0.00386904	5753.92	0.0346256
chr11	118500971	118501070	KMT2A	1.00309	11480.9	0.0271704
chr11	118501070	118501170	KMT2A	0.11767	6204.41	0.0293717
chr11	118501170	118501270	KMT2A	-2.50055	1000.78	0.127738
chr11	118501539	118501639	KMT2A	-2.26932	1193.62	0.123063
chr11	118501639	118501740	KMT2A	-0.47069	4116.63	0.0880797
chr11	118501740	118501841	KMT2A	0.7395	9515.53	0.0361965
chr11	118501841	118501942	KMT2A	0.779748	9799.3	0.0402048
chr11	118501942	118502043	KMT2A	-2.03549	1412.75	0.110174
chr11	118502213	118502313	KMT2A	-2.19886	1254.87	0.0997076
chr11	118502313	118502414	KMT2A	0.422146	7652.57	0.0296538
chr11	118502414	118502514	KMT2A	0.247755	6810.21	0.0350031
chr11	118502514	118502615	KMT2A	0.460715	7840.51	0.0399105
chr11	118502615	118502716	KMT2A	-0.109537	5302.59	0.0488277
chr11	118502716	118502816	KMT2A	-0.0798919	5389.8	0.0412194
chr11	118502816	118502917	KMT2A	0.280522	6916.05	0.0368239
chr11	118502917	118503017	KMT2A	0.210375	6630.46	0.0307072
chr11	118503017	118503118	KMT2A	0.195784	6575.37	0.0357447
chr11	118503118	118503219	KMT2A	0.249214	6790.69	0.032993
chr11	118503219	118503319	KMT2A	0.467773	7939.86	0.0317386
chr11	118503319	118503420	KMT2A	0.321299	7180.49	0.0364922
chr11	118503420	118503520	KMT2A	0.200767	6630.48	0.0337118
chr11	118503520	118503621	KMT2A	0.263776	6875.78	0.0394035
chr11	118503621	118503722	KMT2A	-0.132657	5198.79	0.0669553
chr11	118503722	118503822	KMT2A	-0.0553186	5478.21	0.0627869
chr11	118503822	118503923	KMT2A	-0.0147366	5630.44	0.0555288
chr11	118503923	118504023	KMT2A	0.348107	7264.62	0.0518109
chr11	118504023	118504124	KMT2A	-0.0265854	5642.91	0.0569201
chr11	118504124	118504225	KMT2A	0.296698	7068.44	0.0401361
chr11	118504225	118504325	KMT2A	0.565537	8491.89	0.0295216
chr11	118504325	118504426	KMT2A	0.0772279	6072.71	0.0421274
chr11	118504426	118504527	KMT2A	0.567287	8490.51	0.0281242
chr11	118504527	118504627	KMT2A	0.189492	6573.11	0.0436508
chr11	118504627	118504728	KMT2A	0.465003	7902.7	0.0425323
chr11	118504728	118504828	KMT2A	-0.265566	4771.67	0.0416856
chr11	118504828	118504929	KMT2A	0.0176681	5800.9	0.048319
chr11	118504929	118505030	KMT2A	0.318284	7119.3	0.0397153
chr11	118505030	118505130	KMT2A	0.0951253	6121.86	0.0428213
chr11	118505130	118505231	KMT2A	0.31257	7090.18	0.0340341
chr11	118505231	118505331	KMT2A	-0.134716	5218.96	0.0518931
chr11	118505331	118505432	KMT2A	0.184693	6507.45	0.0551913
chr11	118505432	118505533	KMT2A	0.139399	6308.72	0.0661934
chr11	118505533	118505633	KMT2A	0.255604	6847.74	0.04563
chr11	118505633	118505734	KMT2A	0.559152	8456.23	0.0482297
chr11	118505734	118505834	KMT2A	0.355191	7382.45	0.0750555
chr11	118505834	118505935	KMT2A	0.295205	7004.7	0.0349302
chr11	118505935	118506036	KMT2A	-0.114983	5252.76	0.0465521
chr11	118506036	118506136	KMT2A	0.13015	6247.39	0.0529836
chr11	118506136	118506237	KMT2A	-0.111746	5313.77	0.0421468
chr11	118506237	118506337	KMT2A	0.487907	8015.18	0.0444592
chr11	118506337	118506438	KMT2A	-0.0156577	5649.63	0.0697342
chr11	118506438	118506539	KMT2A	-0.00463218	5744.59	0.0557221
chr11	118506539	118506639	KMT2A	0.676925	9153.93	0.0235377
chr11	118506639	118506740	KMT2A	0.0932616	6102.35	0.0413396
chr11	118506740	118506841	KMT2A	-2.48263	1025	0.0850898
chr11	118507415	118507524	KMT2A	0.354705	7299.51	0.0519866
chr11	118507524	118507633	KMT2A	0.758011	9702.68	0.0320939
chr11	118507633	118507742	KMT2A	-0.128062	5235.26	0.0441193
chr11	118507742	118507851	KMT2A	-2.29383	1166.62	0.0872922
chr11	118509001	118509098	KMT2A	-2.24386	1214.74	0.129077
chr11	118509098	118509196	KMT2A	0.16046	6391.81	0.0524953
chr11	118509196	118509294	KMT2A	1.27394	13790.2	0.0312053
chr11	118509294	118509392	KMT2A	0.299023	6996.93	0.0478192
chr11	118509392	118509490	KMT2A	-2.06833	1344.41	0.139748
chr11	118509793	118509900	KMT2A	-1.83502	1592.92	0.116927
chr11	118509900	118510007	KMT2A	0.00282206	5719.28	0.0668579
chr11	118510007	118510115	KMT2A	0.607692	8667.72	0.0359974
chr11	118510115	118510222	KMT2A	0.172239	6425.19	0.0554907
chr11	118510222	118510330	KMT2A	-2.05041	1387.02	0.0988763
chr11	118511830	118511921	KMT2A	-2.69351	870.473	0.148663
chr11	118511921	118512012	KMT2A	0.299491	6999.64	0.0693979
chr11	118512012	118512103	KMT2A	0.349667	7313.76	0.0662015
chr11	118512103	118512194	KMT2A	-2.30521	1164.29	0.131511
chr11	118519487	118519591	KMT2A	-2.24134	1221.57	0.0650202
chr11	118519591	118519696	KMT2A	0.107855	6181.38	0.0469465
chr11	118519696	118519801	KMT2A	0.693922	9263.85	0.0245695
chr11	118519801	118519906	KMT2A	0.0630248	5957.04	0.0326099
chr11	118519906	118520011	KMT2A	0.693689	9262.06	0.032312
chr11	118520011	118520116	KMT2A	0.866039	10419.6	0.0342032
chr11	118520116	118520221	KMT2A	-2.02968	1406.92	0.0995199
chr11	118520690	118520801	KMT2A	0.148804	6276.29	0.0494454
chr11	118520801	118520913	KMT2A	0.653306	8968.51	0.0432412
chr11	118520913	118521025	KMT2A	-1.23458	2421.8	0.0975775
chr11	118521123	118521224	KMT2A	-0.154647	5154.21	0.0457769
chr11	118521224	118521325	KMT2A	0.530431	8223.06	0.0588794
chr11	118521325	118521426	KMT2A	1.13307	12581.9	0.0447609
chr11	118521426	118521527	KMT2A	0.0932925	6123.85	0.0601487
chr11	118521527	118521628	KMT2A	-2.35298	1117.24	0.128307
chr11	118521761	118521866	KMT2A	-0.320336	4559.77	0.0663672
chr11	118521866	118521971	KMT2A	-0.17826	5036.85	0.0466179
chr11	118521971	118522077	KMT2A	-0.101438	5328.56	0.0576592
chr11	118522077	118522182	KMT2A	-0.224118	4901.7	0.0793145
chr11	118522182	118522287	KMT2A	-0.681595	3574.78	0.0828425
chr11	118522287	118522393	KMT2A	-2.3164	1148	0.0930294
chr11	119277603	119277708	CBL	-1.07214	2686.59	0.108934
chr11	119277708	119277813	CBL	0.673068	9043.88	0.0734341
chr11	119277813	119277919	CBL	0.0781933	5992.69	0.0827904
chr11	119278019	119278121	CBL	-1.92744	1505.88	0.123668
chr11	119278121	119278224	CBL	-0.179424	5036.1	0.0498784
chr11	119278224	119278327	CBL	-0.45215	4147.44	0.0607604
chr11	119278337	119278430	CBL	-1.61331	1875.45	0.0718146
chr11	119278430	119278523	CBL	-0.31956	4592.96	0.0593013
chr11	119278523	119278616	CBL	0.584905	8541.36	0.0287191
chr11	119278616	119278709	CBL	0.866141	10420.4	0.037705
chr11	119278709	119278802	CBL	0.240708	6762.94	0.0329415
chr11	119278802	119278895	CBL	-2.1854	1251.82	0.11549
chr12	11649926	11650029	ETV6	-2.77343	835.161	0.103355
chr12	11650029	11650133	ETV6	0.00706418	5720.94	0.0451082
chr12	11650133	11650237	ETV6	0.150409	6362.68	0.0604255
chr12	11650237	11650341	ETV6	-2.23718	1224.04	0.0979179
chr12	11752412	11752506	ETV6	-0.00387594	5703.55	0.0380385
chr12	11752506	11752601	ETV6	-0.570871	3862.06	0.051341
chr12	11752601	11752696	ETV6	-2.44532	1039.49	0.104591
chr12	11838999	11839109	ETV6	-2.21944	1181.97	0.197499
chr12	11839109	11839220	ETV6	-0.425985	3903.22	0.101744
chr12	11839220	11839331	ETV6	-0.206557	4914.88	0.0590271
chr12	11853318	11853405	ETV6	0.171854	6449.52	0.0420886
chr12	11853405	11853493	ETV6	0.879062	10505.1	0.0348834
chr12	11853493	11853580	ETV6	0.914254	10786.7	0.0304754
chr12	11853580	11853668	ETV6	-0.188188	5003.55	0.0667321
chr12	11869291	11869395	ETV6	-2.50679	993.044	0.0818233
chr12	11869395	11869499	ETV6	0.0649099	6011.06	0.0406729
chr12	11869499	11869604	ETV6	0.42489	7684.99	0.0438732
chr12	11869604	11869708	ETV6	0.378785	7428.01	0.0594952
chr12	11869708	11869812	ETV6	0.152761	6376.06	0.0507758
chr12	11869812	11869917	ETV6	0.575517	8499.3	0.0505016
chr12	11869917	11870021	ETV6	-0.619449	3708.12	0.0740312
chr12	11870021	11870126	ETV6	-2.3832	1099.37	0.0872254
chr12	11884359	11884457	ETV6	-0.152074	5112.16	0.0492275
chr12	11884457	11884555	ETV6	0.986961	11299.8	0.0506596
chr12	11884555	11884653	ETV6	0.988978	11370.7	0.040515
chr12	11884653	11884751	ETV6	0.375448	7404.7	0.0379277
chr12	11884751	11884849	ETV6	-2.34932	1122.82	0.111991
chr12	11885809	11885896	ETV6	-2.25218	1207.4	0.109725
chr12	11885896	11885984	ETV6	0.614224	8725.36	0.0400515
chr12	11885984	11886072	ETV6	0.619595	8765.32	0.0437347
chr12	11886072	11886160	ETV6	-2.42301	1059.87	0.105139
chr12	11890904	11890989	ETV6	0.43487	7687.86	0.0524427
chr12	11890989	11891075	ETV6	-0.284378	4650	0.0803769
chr12	11891075	11891161	ETV6	-2.213	1220.17	0.116727
chr12	22658874	22658973	ETNK1	-2.52858	980.374	0.135825
chr12	22658973	22659072	ETNK1	0.495474	7999.81	0.0615939
chr12	22659072	22659171	ETNK1	0.678019	9073.06	0.0605175
chr12	22659171	22659271	ETNK1	0.193706	6537.82	0.065717
chr12	25215371	25215463	KRAS	0.302224	6983.72	0.0894391
chr12	25215463	25215555	KRAS	0.650183	8903.6	0.0758268
chr12	25215555	25215648	KRAS	-0.402715	4258.6	0.105382
chr12	25225488	25225585	KRAS	0.163533	6357.74	0.0967451
chr12	25225585	25225682	KRAS	0.0892714	6042.79	0.0745858
chr12	25225682	25225779	KRAS	0.623963	8802.97	0.0612943
chr12	25225779	25225876	KRAS	0.331958	7160.11	0.0636566
chr12	25225876	25225973	KRAS	-2.35048	1103.06	0.153246
chr12	25227106	25227196	KRAS	-1.86802	1534.36	0.151455
chr12	25227196	25227286	KRAS	-0.190856	4951.9	0.0941756
chr12	25227286	25227376	KRAS	1.09032	12089	0.0482525
chr12	25227376	25227466	KRAS	0.721089	9405.96	0.0607832
chr12	25227466	25227557	KRAS	-2.25295	1209.71	0.0997692
chr12	25245219	25245334	KRAS	0.111733	6165.66	0.0728995
chr12	25245334	25245450	KRAS	0.0669554	5937.54	0.0802294
chr12	54292253	54292354	NFE2	-2.34401	1138.15	0.0703594
chr12	54292354	54292456	NFE2	-0.112765	5297.39	0.0422187
chr12	54292456	54292558	NFE2	0.463042	7886.97	0.0363379
chr12	54292558	54292660	NFE2	-0.0111853	5704.87	0.038695
chr12	54292660	54292761	NFE2	0.152351	6359.76	0.0465999
chr12	54292761	54292863	NFE2	0.341699	7246.94	0.0443941
chr12	54292863	54292965	NFE2	0.441871	7774.06	0.0396623
chr12	54292965	54293067	NFE2	0.00127936	5738.4	0.0489867
chr12	54293067	54293168	NFE2	-0.334286	4518.02	0.0621056
chr12	54293168	54293270	NFE2	0.282408	6951.14	0.0825008
chr12	54293270	54293372	NFE2	0.590064	8625.59	0.0600788
chr12	54293372	54293474	NFE2	-0.580324	3825.37	0.0491096
chr12	54294948	54295057	NFE2	-2.20085	1249.45	0.0736982
chr12	54295057	54295167	NFE2	-0.0136913	5666.95	0.0545626
chr12	54295167	54295276	NFE2	0.0807373	6044.99	0.0643415
chr12	54295276	54295386	NFE2	-2.11494	1332.43	0.0923219
chr12	111418116	111418220	SH2B3	-0.00407186	5742	0.057897
chr12	111418220	111418325	SH2B3	0.168003	6422.31	0.0646175
chr12	111418325	111418429	SH2B3	-0.13199	5204	0.0837641
chr12	111418429	111418534	SH2B3	-0.800241	3290.68	0.125336
chr12	111418534	111418639	SH2B3	0.219815	6641.98	0.099857
chr12	111418639	111418743	SH2B3	0.207121	6605.48	0.100461
chr12	111418743	111418848	SH2B3	-0.470546	4132.91	0.0555151
chr12	111418848	111418953	SH2B3	-0.117624	5260.6	0.0396703
chr12	111434791	111434901	SH2B3	0.043214	5906.14	0.0638934
chr12	111434901	111435012	SH2B3	0.230396	6694.92	0.0575958
chr12	111435012	111435123	SH2B3	-0.254439	4766.22	0.0592959
chr12	111435123	111435234	SH2B3	-2.41015	1072.64	0.083345
chr12	111444605	111444705	SH2B3	-0.37061	4395.71	0.047381
chr12	111444705	111444805	SH2B3	-0.0969151	5326.56	0.062907
chr12	111444805	111444905	SH2B3	-0.664604	3606.06	0.0684149
chr12	111444905	111445006	SH2B3	-2.48747	1023.05	0.0986624
chr12	111446659	111446762	SH2B3	0.172354	6431.89	0.0456975
chr12	111446762	111446866	SH2B3	0.449038	7790.19	0.0360062
chr12	111446866	111446970	SH2B3	0.208542	6592.44	0.0486537
chr12	111446970	111447073	SH2B3	-0.199869	4980.26	0.0615026
chr12	111447073	111447177	SH2B3	0.601918	8663.58	0.0955437
chr12	111447177	111447281	SH2B3	0.873066	10429.8	0.097901
chr12	111447281	111447384	SH2B3	0.689507	9131.57	0.103816
